Annee;AV_PEB_RE-RE;Echanges d'ARENH (MWh);Echanges de VPP (MWh);Echanges Ã  la bourse (MWh);Achat des pertes RPT hors bourse (MWh);ij_AV_PEB_redec_a_la_hausse;ij_AV_PEB_redec_a_la_baisse;Achat IJ Bourse (MWh);Vente IJ Bourse (MWh);IJ : import (MWh);IJ : export (MWh)
2014;328147637.5;71348942.11;3040210.6;146119555.1;8285683;1602554.98;1692570.49;3314965.0;3266170.8;10993956.23;7014297.7
2019;373223383.7;120392838.5;0.0;196773257.1;13624755;5028970.48;3144536.42;8066383.8;8126186.15;8483907.34;6641913.16
2020;398583576.5;126090050.4;0.0;237307323.5;12544390;5256501.37;2825970.29;11158396.8;11382427.0;10516250.57;9144099.4
2012;328076153.9;60810436.63;27635317.4;132469798.0;10155219;1723517.46;1500389.61;2174309.0;2159260.0;7940174.0;5534807.48
2013;294953597.2;64356355.7;8477544.7;129680223.2;8547711;1971667.9;1625370.92;2857937.5;2904352.8;9297352.83;5654219.17
2011;325115083.7;30834147.47;40260384.1;151467528.0;10515187;1682489.05;1467855.61;1655055.0;1734034.0;3926599.5;4947972.5
2016;540867251.7;0.0;0.0;203827884.0;7086083;3231905.94;3206309.48;3978632.5;4243670.2;8168325.8;6824479.39
2018;421115380.3;96395399.8;0.0;188720125.5;15700211;4288247.98;3640168.49;6064617.7;5977538.85;7863222.29;6388250.41
2015;492304122.0;16241293.83;345093.6;196836852.8;9281091;2674336.32;2163153.43;3537640.4;4020853.0;10168200.51;7510143.56
2017;403115259.8;82063680.0;0.0;184346328.4;8057257;3653918.65;3087188.42;4279189.45;4197642.4;9572492.43;7195631.93
